Backend	Mode	Receiver	# beams	Polarization	Bandwidth (MHz)	Number spectral windows	Min integ time	Switching mode	Additional Questions	Notes																																																																																																																																																																																																																																																					
Mustang	Continuum	MBA	64	Single	20000	1	0.001	TP																																																																																																																																																																																																																																																							
CCB	Continuum	B	2	Single	3500	4	0.005	"{BSW, BSW-PS, BSW-NOD, BSW-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	"{3,4,6,8,A}"	1	Dual	"{20,40,80,240}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{L,C,X}"	1	Dual	"{20,80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	U	1	Dual	"{20,80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	U	2	Dual	"{20,80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	S 	1	Dual	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{K1,K2,Q,W}"	1	Dual	"{80,320,1280}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	"{K1, K2, Q,W}"	2	Dual	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
DCR	Continuum	B	1	Single	"{80,320,1280}"	1	0.100	TP-PS		SC																																																																																																																																																																																																																																																					
DCR	Continuum	B	2	Single	"{80,320,1280}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"		SC																																																																																																																																																																																																																																																					
DCR	Continuum	KFPA	1	Dual	"{12.5,50,200,800}"	1	0.100	TP-PS																																																																																																																																																																																																																																																							
DCR	Continuum	KFPA	2	Dual	"{12.5,50,200,800}"	1	0.100	"{TP-PS, TP-NOD, TP-SRN}"		
SP	Spectral Line	"{B1,B2,B3}"	1	Single	2.5	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	1.25	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	1.25	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.625	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.625	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.3125	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.3125	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.15625	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.15625	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.078125	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.078125	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	SC

SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU }"	40	1	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	40	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU }"	20	1	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	20	"{2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	20	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	10	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	10	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	5	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	5	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	2.5	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	2.5	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	1.25	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	1.25	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.625	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	0.625	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.3125	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	0.3125	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.15625	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	0.15625	1	1.000	TP	"{MSR, NPB}"	SC
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,K1,K2,Q,W}"	1	"{Dual,  Cross_QU, Full }"	0.078125	"{1, 2, 4}"	1.000	TP	"{MSR, NPB}"	
SP	Pulsar	"{B1,B2,B3}"	1	Single	0.078125	1	1.000	TP	"{MSR, NPB}"	SC

ACS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	"{U,K1,K2,Q,W}"	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	"{U,K1,K2,Q,W}"	2	"{Dual, Full}"	"{200, 800}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	"{B1,B2,B3}"	2	Single	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	KFPA	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	KFPA	2	"{Dual, Full}"	"{200, 800}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	KFPA	4	"{Dual, Full}"	"{200, 800}"	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4, 8}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	"{U,K1,K2,Q,W}"	1	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	"{U,K1,K2,Q,W}"	2	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	"{B1,B2,B3}"	2	Single	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	KFPA	1	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	KFPA	2	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"	MSR	
ACS	Spectral Line	KFPA	4	"{Dual, Full}"	"{12.5, 50}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW}"	MSR	
ACS	Spectral Line	KFPA	8	"{Dual, Full}"	"{12.5, 50}"	1	1.000	"{TP-PS, IFSW, OFSW}"	MSR	

GUPPI	"{Pulsar, HTR}"	"{3,4,6,8,A,L,S,C,X,U,K1,K2,KFPA,Q,W}"	1	"{Dual,  Cross_QU, Full }"	800	1	NA	TP	"{MSR, NPB}"	
GUPPI	"{Pulsar, HTR}"	"{B1,B2,B3}"	1	Single	800	1	NA	TP	"{MSR, NPB}"	SC
GUPPI	"{Pulsar, HTR}"	"{3,4,6,8,A,L,S,C,X,U,K1,K2,KFPA,Q,W}"	1	"{Dual,  Cross_QU, Full }"	400	1	NA	TP	"{MSR, NPB}"	
GUPPI	"{Pulsar, HTR}"	"{B1,B2,B3}"	1	Single	400	1	NA	TP	"{MSR, NPB}"	SC
GUPPI	"{Pulsar, HTR}"	"{3,4,6,8,A,L,S,C,X,U,K1,K2,KFPA,Q,W}"	1	"{Dual,  Cross_QU, Full }"	200	1	NA	TP	"{MSR, NPB}"	
GUPPI	"{Pulsar, HTR}"	"{B1,B2,B3}"	1	Single	200	1	NA	TP	"{MSR, NPB}"	SC
GUPPI	"{Pulsar, HTR}"	"{3,4,6,8,A,L,S,C,X,U,K1,K2,KFPA,Q,W}"	1	"{Dual,  Cross_QU, Full }"	100	1	NA	TP	"{MSR, NPB}"	
GUPPI	"{Pulsar, HTR}"	"{B1,B2,B3}"	1	Single	100	1	NA	TP	"{MSR, NPB}"	SC

Zpectrometer	Spectral Line	B	2	Single	14000	1	1.000	"{BSW-NOD, BSW-SRN, BSW-PS, BSW}"	MSR	
