Backend	Mode	Receiver	# beams	Polarization	Bandwidth (MHz)	Number spectral windows	Min integ time	Switching mode	Additional Questions	Notes																																																																																																																																																																																																																																																					
SP	Spectral Line	"{B1,B2,B3}"	1	Single	40	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU }"	20	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	20	"{2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	20	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	10	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	10	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	5	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	5	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	2.5	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	2.5	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	1.25	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	1.25	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	0.625	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.625	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	0.3125	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.3125	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	0.15625	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.15625	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{3,4,6,8,A,L,S,C,X,U,Q,W1,W2,W3,W4}"	1	"{Dual,  Cross_QU, Full }"	0.078125	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
SP	Spectral Line	"{B1,B2,B3}"	1	Single	0.078125	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
ACS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	"{200, 800}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{B1,B2,B3}"	2	Single	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	KFPA	1	"{Dual, Full}"	"{200, 800}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	KFPA	2	"{Dual, Full}"	"{200, 800}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW,TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	KFPA	4	"{Dual, Full}"	"{200, 800}"	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{3,4,6,8,A,L,S,C,X}"	1	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4, 8}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{U,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{U,Q,W1,W2,W3,W4}"	2	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	"{B1,B2,B3}"	2	Single	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
ACS	Spectral Line	KFPA	2	"{Dual, Full}"	"{12.5, 50}"	"{1, 2, 4}"	1.000	"{TP-PS, IFSW, OFSW, TP-NOD, TP-SRN}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	KFPA	4	"{Dual, Full}"	"{12.5, 50}"	"{1, 2}"	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
ACS	Spectral Line	KFPA	7	"{Dual, Full}"	"{12.5, 50}"	1	1.000	"{TP-PS, IFSW, OFSW}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
Zpectrometer	Spectral Line	B	2	Single	14000	1	1.000	"{BSW-NOD, BSW-SRN, BSW-PS, BSW}"																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,KFPA,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	40.000000	1	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{B1,B2,B3}"	1	Single	40.000000	1	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,KFPA,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	20.000000	"{1,2}"	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,KFPA,Q,W1,W2,W3,W4}"	1	Full	20.000000	2	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{B1,B2,B3}"	1	Single	20.000000	"{1,2}"	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{3,4,6,8,A,L,S,C,X,U,KFPA,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{0.078125, 0.15625, 0.3125, 0.625, 1.25, 2.5, 5, 10}"	"{1,2,4}"	1.000	TP																																																																																																																																																																																																																																																							
SP	Pulsar	"{B1,B2,B3}"	1	Single	"{0.078125, 0.15625, 0.3125, 0.625, 1.25, 2.5, 5, 10}"	"{1,2,4}"	1.000	TP																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
GUPPI	Pulsar	"{3,4,6,8,A,L,S,C,X,U,KFPA,Q,W1,W2,W3,W4}"	1	"{Dual, Full}"	"{100, 200, 800}"	1	1.000	TP																																																																																																																																																																																																																																																							
GUPPI	Pulsar	"{B1,B2,B3}"	1	Single	"{100, 200, 800}"	1	1.000	TP																																																																																																																																																																																																																																																							
